,Unnamed: 0,Article,Sentence,Sentence Position,Sentence Length,Numeric Data,Thematic Words,Entropy,POS tags,TF-ISF,Aggregate Score,Busy Path,Title,Label
1541,1541,A93,S8,0.33,0.61,0.0,0.93,0.89,0.88,0.95,0.95,0.55,0.41,0.905
1542,1542,A93,S9,0.5,0.89,0.0,0.86,0.73,0.69,0.51,0.93,0.36,0.65,0.906
1543,1543,A93,S10,0.67,0.77,0.0,0.41,0.34,0.32,0.3,0.84,0.82,0.12,0.862
1544,1544,A93,S11,0.83,0.86,0.0,0.34,0.32,0.35,0.42,0.93,0.64,0.06,0.85
1545,1545,A93,S12,1.0,0.84,0.0,0.69,0.72,0.53,0.87,0.88,0.55,0.47,0.896
1546,1546,A94,S1,0.89,0.73,1.0,0.97,0.96,0.9,0.85,0.9,0.57,1.0,0.992
1547,1547,A94,S2,0.78,0.73,0.0,0.33,0.38,0.33,0.33,0.89,0.71,0.71,0.867
1548,1548,A94,S3,0.67,0.97,0.0,0.58,0.6,0.7,0.56,0.97,0.21,0.0,0.894
1549,1549,A94,S4,0.56,0.97,0.0,0.67,0.66,0.62,0.46,0.94,0.36,0.57,0.928
1550,1550,A94,S5,0.44,0.9,0.0,0.5,0.59,0.53,0.51,1.0,0.14,0.57,0.924
1551,1551,A94,S6,0.33,0.86,0.0,0.39,0.47,0.54,0.54,0.96,0.36,0.29,0.906
1552,1552,A94,S7,0.22,0.95,0.0,0.5,0.56,0.66,0.6,0.94,0.36,0.71,0.911
1553,1553,A94,S8,0.11,0.62,0.0,1.0,1.0,1.0,1.0,0.86,0.64,0.71,0.924
1554,1554,A94,S9,0.0,0.88,0.0,0.44,0.61,0.49,0.5,0.97,0.29,0.0,0.886
1555,1555,A94,S10,0.11,0.66,0.0,0.25,0.29,0.31,0.27,0.82,0.86,0.14,0.871
1556,1556,A94,S11,0.22,0.86,0.0,0.44,0.55,0.42,0.39,0.95,0.29,0.43,0.887
1557,1557,A94,S12,0.33,0.73,0.0,0.28,0.33,0.29,0.39,0.94,0.43,0.0,0.861
1558,1558,A94,S13,0.44,0.82,0.0,0.83,1.0,0.78,0.72,0.91,0.43,0.86,0.907
1559,1559,A94,S14,0.56,0.9,0.0,0.64,0.74,0.71,0.74,0.88,0.64,0.14,0.913
1560,1560,A94,S15,0.67,0.62,0.0,0.19,0.25,0.19,0.24,0.76,1.0,0.14,0.849
1561,1561,A94,S16,0.78,0.97,0.0,0.53,0.65,0.6,0.78,0.92,0.29,0.43,0.902
1562,1562,A94,S17,0.89,0.84,0.0,0.5,0.56,0.41,0.45,0.95,0.43,0.0,0.876
1563,1563,A94,S18,1.0,0.77,0.0,0.39,0.36,0.41,0.34,0.92,0.43,0.57,0.88
1564,1564,A95,S1,0.6,0.93,0.0,0.45,0.67,0.62,0.65,1.0,0.33,1.0,0.993
1565,1565,A95,S2,0.2,0.7,0.0,0.25,0.41,0.28,0.43,0.96,0.67,0.1,1.0
1566,1566,A95,S3,0.2,0.93,1.0,0.75,0.77,0.58,0.76,0.95,0.67,0.5,1.0
1567,1567,A95,S4,0.6,0.7,0.0,1.0,1.0,1.0,1.0,0.89,1.0,0.5,0.922
1568,1568,A95,S5,1.0,0.7,1.0,0.3,0.4,0.3,0.41,0.96,0.67,0.1,0.88
